Service ID,CCG17CD,Service Name,postcode,description,Address,Enquiries Contact - phone,Fax,Enquiries Contact - email,URL,Area,Area2
easchesh,E38000056,East Cheshire Wheelchair Service,CW12 3AR,Address: Congleton War Memorial Hospital Canal Road   Congleton Cheshire<br>Post Code: CW12 3AR<br>Main Telephone: 01625 663345<br>Main Fax: 01625 663486<br>Main Email: ecn-tr.WAC@nhs.net<br>Website: <br>Service Provider / NHS Trust: East Cheshire NHS Trust<br>Commissioner / CCG: East Cheshire NHS Trust,Congleton War Memorial Hospital Canal Road   Congleton Cheshire,01625 663345,01625 663486,ecn-tr.WAC@nhs.net,,East Cheshire NHS Trust,East Cheshire NHS Trust
stockpor,E38000174,Stockport Wheelchair Service,SK4 1LW,Address: 1st Floor Kingsgate House Wellington Road  North   Stockport Cheshire<br>Post Code: SK4 1LW<br>Main Telephone: 0161 426 5454<br>Main Fax: 0161 426 5459<br>Main Email: <br>Website: <br>Service Provider / NHS Trust: NHS Stockport<br>Commissioner / CCG: NHS Stockport,1st Floor Kingsgate House Wellington Road  North   Stockport Cheshire,0161 426 5454,0161 426 5459,,,NHS Stockport,NHS Stockport
wechesh,E38000196,West Cheshire Wheelchair Service,CH65 2HB,Address: Poole Centre New Grosvenor Road   Ellesmere Port Cheshire<br>Post Code: CH65 2HB<br>Main Telephone: 0151 357 1070<br>Main Fax: 0151 356 2984<br>Main Email: <br>Website: http://www.wirralct.nhs.uk<br>Service Provider / NHS Trust: Wirral Community NHS Trust<br>Commissioner / CCG: West Cheshire CCG,Poole Centre New Grosvenor Road   Ellesmere Port Cheshire,0151 357 1070,0151 356 2984,,http://www.wirralct.nhs.uk,Wirral Community NHS Trust,West Cheshire CCG
wepenin,E38000182,West Pennine Wheelchair Service,SK14 4NL,Address: Tameside and Glossop Community Business Group Unit 8 Hyde Point Industrial Estate Dunkirk Lane  Hyde Cheshire<br>Post Code: SK14 4NL<br>Main Telephone: 0161 335 2800<br>Main Fax: 0161 335 2812<br>Main Email: <br>Website: <br>Service Provider / NHS Trust: Stockport Foundation Trust<br>Commissioner / CCG: Stockport Foundation Trust,Tameside and Glossop Community Business Group Unit 8 Hyde Point Industrial Estate Dunkirk Lane  Hyde Cheshire,0161 335 2800,0161 335 2812,,,Stockport Foundation Trust,Stockport Foundation Trust
warringn,E38000194,Warrington Wheelchair Service,WA5 7TN,Address: 226A Europa Boulevard Westbrook   Warrington Cheshire<br>Post Code: WA5 7TN<br>Main Telephone: 01925 251445<br>Main Fax: 01925 251446<br>Main Email: wheels@warrington-pct.nhs.uk<br>Website: <br>Service Provider / NHS Trust: Bridgewater Community Healthcare NHS Trust<br>Commissioner / CCG: Warrington CCG,226A Europa Boulevard Westbrook   Warrington Cheshire,01925 251445,01925 251446,wheels@warrington-pct.nhs.uk,,Bridgewater Community Healthcare NHS Trust,Warrington CCG
hartlepl,E38000075,Hartlepool Wheelchair Service,TS24 9AH,Address: Wheelchair Service University Hospital of Hartlepool Holdforth Road  Hartlepool County Durham<br>Post Code: TS24 9AH<br>Main Telephone: 01429 522969<br>Main Fax: 01429 522993<br>Main Email: judith.ruddle@nth.nhs.uk<br>Website: <br>Service Provider / NHS Trust: North Tees and Hartlepool Foundation Trust<br>Commissioner / CCG: North Tees and Hartlepool CCG,Wheelchair Service University Hospital of Hartlepool Holdforth Road  Hartlepool County Durham,01429 522969,01429 522993,judith.ruddle@nth.nhs.uk,,North Tees and Hartlepool Foundation Trust,North Tees and Hartlepool CCG
cambpen,E38000089,Peninsula Community Health Wheelchair Service,TR153ER,Address: Camborne and Redruth Community Hospital Barncoose Terrace   Redruth Cornwall<br>Post Code: TR153ER<br>Main Telephone: 01209 318122<br>Main Fax: <br>Main Email: refs.whchs@cornwall.nhs.uk<br>Website: <br>Service Provider / NHS Trust: Peninsula Community Health<br>Commissioner / CCG: Kernow CCG,Camborne and Redruth Community Hospital Barncoose Terrace   Redruth Cornwall,01209 318122,,refs.whchs@cornwall.nhs.uk,,Peninsula Community Health,Kernow CCG
musgreg,E38000066,Regional Disablement Services Wheelchair Centre,BT9 7JB,Address: Musgrave Park Hospital Stockmans Lane   Belfast County Antrim<br>Post Code: BT9 7JB<br>Main Telephone: 028 950 41747<br>Main Fax: 028 9090 2721<br>Main Email: <br>Website: http://www.belfasttrust.hscni.net<br>Service Provider / NHS Trust: Belfast Health and Social Care Trust<br>Commissioner / CCG: Health and Social Care Board,Musgrave Park Hospital Stockmans Lane   Belfast County Antrim,028 950 41747,028 9090 2721,,http://www.belfasttrust.hscni.net,Belfast Health and Social Care Trust,Health and Social Care Board
belfstrn,E38000154,Regional Wheelchair Service,BT4 1NU,Address: Strand House 102 Holywood Road   Belfast County Antrim<br>Post Code: BT4 1NU<br>Main Telephone: 028 9056 3545<br>Main Fax: <br>Main Email: <br>Website: <br>Service Provider / NHS Trust: South & East Belfast HSS Trust<br>Commissioner / CCG: South & East Belfast HSS Trust,Strand House 102 Holywood Road   Belfast County Antrim,028 9056 3545,,,,South & East Belfast HSS Trust,South & East Belfast HSS Trust
cntydurm,E38000042,County Durham & Darlington Wheelchair,DL3 6HX,Address: Darlington Memorial Hospital Memorial Hospital Hollyhurst Raod  Darlington County Durham<br>Post Code: DL3 6HX<br>Main Telephone: 01325 743861<br>Main Fax: 01325 743180<br>Main Email: janetmoran@nhs.net<br>Website: <br>Service Provider / NHS Trust: County Durham & Darlington NHS Foundation Trust<br>Commissioner / CCG:,Darlington Memorial Hospital Memorial Hospital Hollyhurst Raod  Darlington County Durham,01325 743861,01325 743180,janetmoran@nhs.net,,County Durham & Darlington NHS Foundation Trust,
ctyddarl,E38000116,County Durham & Darlington Wheelchair Service,DH1 5RD,Address: Tarncroft Villa Lanchester Road Hospital Lanchester Road  Durham County Durham<br>Post Code: DH1 5RD<br>Main Telephone: 0191 333 6327<br>Main Fax: 0191 3336521<br>Main Email: <br>Website: <br>Service Provider / NHS Trust: County Durham & Darlington NHS Foundation Trust<br>Commissioner / CCG:,Tarncroft Villa Lanchester Road Hospital Lanchester Road  Durham County Durham,0191 333 6327,0191 3336521,,,County Durham & Darlington NHS Foundation Trust,
nthdurm,E38000217,Occupational Therapy Department,DH8 0NB,Address: Shotley Bridge General Hospital Shotley Bridge   Consett County Durham<br>Post Code: DH8 0NB<br>Main Telephone: 01207 586060<br>Main Fax: <br>Main Email: <br>Website: <br>Service Provider / NHS Trust: North Durham Health Care NHS Trust<br>Commissioner / CCG: North Durham Health Care NHS Trust,Shotley Bridge General Hospital Shotley Bridge   Consett County Durham,01207 586060,,,,North Durham Health Care NHS Trust,North Durham Health Care NHS Trust
carlcumb,E38000215,Carlisle Disablement Services Centre,CA2 7HY,Address: Lower Ground Floor Cumberland Infirmary Infirmary Street  Carlisle Cumbria<br>Post Code: CA2 7HY<br>Main Telephone: 01228 814783<br>Main Fax: 01228 814809<br>Main Email: sue.bannister@northcumbria-acute.nhs.uk<br>Website: <br>Service Provider / NHS Trust: North Cumbria Acute Hospitals NHS Trust<br>Commissioner / CCG: North Cumbria Acute Hospitals NHS Trust,Lower Ground Floor Cumberland Infirmary Infirmary Street  Carlisle Cumbria,01228 814783,01228 814809,sue.bannister@northcumbria-acute.nhs.uk,,North Cumbria Acute Hospitals NHS Trust,North Cumbria Acute Hospitals NHS Trust
derbshmul,E38000115,Derbyshire Wheelchair Service,S45 9NZ,Address: Mulberry Clay Cross Hospital Market Street Clay Cross Chesterfield Derbyshire<br>Post Code: S45 9NZ<br>Main Telephone: 01246 252970<br>Main Fax: 01246 252973<br>Main Email: <br>Website: <br>Service Provider / NHS Trust: Derbyshire  Community Health Service<br>Commissioner / CCG: Derbyshire  Community Health Service,Mulberry Clay Cross Hospital Market Street Clay Cross Chesterfield Derbyshire,01246 252970,01246 252973,,,Derbyshire  Community Health Service,Derbyshire  Community Health Service
derbman,E38000169,Derbyshire Wheelchair Service,DE22 3NB,Address: The Manor Store Manor Parkway Uttoxeter Road  Derby Derbyshire<br>Post Code: DE22 3NB<br>Main Telephone: 01332 287057<br>Main Fax: 01332 287059<br>Main Email: <br>Website: <br>Service Provider / NHS Trust: Derbyshire Community Health Service<br>Commissioner / CCG: Derbyshire Community Health Service,The Manor Store Manor Parkway Uttoxeter Road  Derby Derbyshire,01332 287057,01332 287059,,,Derbyshire Community Health Service,Derbyshire Community Health Service
plymthm,E38000152,Plymouth Wheelchair Service,PL6 7PY,Address: Millbrook Healthcare Unit D Armada Point Estover Road  Plymouth Devon<br>Post Code: PL6 7PY<br>Main Telephone: 0845 8940634<br>Main Fax: 0845 4818567<br>Main Email:  <br>Website: <br>Service Provider / NHS Trust: Plymouth Teaching Primary Care Trust<br>Commissioner / CCG: Plymouth Teaching Primary Care Trust,Millbrook Healthcare Unit D Armada Point Estover Road  Plymouth Devon,0845 8940634,0845 4818567,,,Plymouth Teaching Primary Care Trust,Plymouth Teaching Primary Care Trust
exendev,E38000129,Exeter Mobility Centre,EX5 4QX,"Address: Lister Close Wonford Road   Exeter Devon<br>Post Code: EX5 4QX<br>Main Telephone: 01392 403648<br>Main Fax: 01392 403667<br>Main Email: <br>Website: <br>Service Provider / NHS Trust: Royal Devon & Exeter NHS Foundation Trust<br>Commissioner / CCG: New Devon, Somerset, Torbay CCGs",Lister Close Wonford Road   Exeter Devon,01392 403648,01392 403667,,,Royal Devon & Exeter NHS Foundation Trust,"New Devon, Somerset, Torbay CCGs"
dorseacn,E38000045,Dorset Wheelchair Service (East),BH24 2RR,Address: The Acorn Building St Leonards Hospital Ringwood Road  Ringwood Dorset<br>Post Code: BH24 2RR<br>Main Telephone: 01202 892874<br>Main Fax: 01202 870553<br>Main Email: <br>Website: www.dorsetwheelchairs.nhs.uk<br>Service Provider / NHS Trust: Dorset HealthCare University NHS Foundation Trust<br>Commissioner / CCG: Dorset HealthCare University NHS Foundation Trust,The Acorn Building St Leonards Hospital Ringwood Road  Ringwood Dorset,01202 892874,01202 870553,,www.dorsetwheelchairs.nhs.uk,Dorset HealthCare University NHS Foundation Trust,Dorset HealthCare University NHS Foundation Trust
dorsunf,E38000045,Dorset Wheelchair Service (West),DT1 1YA,Address: Unit F2 Marabout Industrial Estate   Dorchester Dorset<br>Post Code: DT1 1YA<br>Main Telephone: 01305 261210<br>Main Fax: 01305 259529<br>Main Email: <br>Website: www.dorsetwheelchairs.nhs.uk<br>Service Provider / NHS Trust: Dorset HealthCare University NHS Foundation Trust<br>Commissioner / CCG: Dorset HealthCare University NHS Foundation Trust,Unit F2 Marabout Industrial Estate   Dorchester Dorset,01305 261210,01305 259529,,www.dorsetwheelchairs.nhs.uk,Dorset HealthCare University NHS Foundation Trust,Dorset HealthCare University NHS Foundation Trust
easushas,E38000213,East Sussex Wheelchair Service,TN37 7RD,Address: Conquest Hospital Egerton Unit Conquest Hospital The Ridge St Leonards-on-Sea East Sussex<br>Post Code: TN37 7RD<br>Main Telephone: 01424 758076<br>Main Fax: 01424 757003<br>Main Email: <br>Website: <br>Service Provider / NHS Trust: Hastings & Rother PCT<br>Commissioner / CCG: Hastings & Rother PCT,Conquest Hospital Egerton Unit Conquest Hospital The Ridge St Leonards-on-Sea East Sussex,01424 758076,01424 757003,,,Hastings & Rother PCT,Hastings & Rother PCT
brihove,E38000021,Brighton and Hove  Wheelchair / Specialist seating Service,BN2 3EX,Address: Sussex Rehabilitation Centre (Brighton) Elm Grove   Brighton East Sussex<br>Post Code: BN2 3EX<br>Main Telephone: 01273 242156<br>Main Fax: 01273 605063<br>Main Email: SC-TR.wheelchairadmin@nhs.net<br>Website: http://www.sussexcommunity.nhs.uk/services/servicedetails.htm?directoryID=16359<br>Service Provider / NHS Trust: Sussex Community NHS Trust<br>Commissioner / CCG: Sussex Community NHS Trust,Sussex Rehabilitation Centre (Brighton) Elm Grove   Brighton East Sussex,01273 242156,01273 605063,SC-TR.wheelchairadmin@nhs.net,http://www.sussexcommunity.nhs.uk/services/servicedetails.htm?directoryID=16359,Sussex Community NHS Trust,Sussex Community NHS Trust
eassusdgn,E38000083,East Sussex Wheelchair Service,BN21 2UD,Address: District General Hospital Rehabilitation Unit Kings Drive  Eastbourne East Sussex<br>Post Code: BN21 2UD<br>Main Telephone: 01323 413798<br>Main Fax: 01323 413895<br>Main Email: <br>Website: <br>Service Provider / NHS Trust: East Sussex Downs and Weald PCT<br>Commissioner / CCG: East Sussex Downs and Weald PCT,District General Hospital Rehabilitation Unit Kings Drive  Eastbourne East Sussex,01323 413798,01323 413895,,,East Sussex Downs and Weald PCT,East Sussex Downs and Weald PCT
huleardn,E38000085,Hull and East Riding Wheelchair Services,HU2 8JJ,Address: 11 Reed Street Kingston upon Hull East Yorkshire<br>Post Code: HU2 8JJ<br>Main Telephone: 0344 8936375<br>Main Fax: <br>Main Email: hull.wheelchairservice@nhs.net<br>Website: www.blatchford.co.uk/locations/hull-nhs-wheelchair-service/<br>Service Provider / NHS Trust: NRS Healthcare<br>Commissioner / CCG: Hull CCG,11 Reed Street Kingston upon Hull East Yorkshire,0344 8936375,,hull.wheelchairservice@nhs.net,www.blatchford.co.uk/locations/hull-nhs-wheelchair-service/,NRS Healthcare,Hull CCG
ednlthian,,Edinburgh Mobility Centre,EH9 2HL,Address: Astley Ainslie Hospital 133 Grange Road   Edinburgh City of Edinburgh<br>Post Code: EH9 2HL<br>Main Telephone: 0131 537 9177<br>Main Fax: 0131 537 9176<br>Main Email: <br>Website: <br>Service Provider / NHS Trust: Lothian Primary Care Trust<br>Commissioner / CCG: Lothian Primary Care Trust,Astley Ainslie Hospital 133 Grange Road   Edinburgh City of Edinburgh,0131 537 9177,0131 537 9176,,,Lothian Primary Care Trust,Lothian Primary Care Trust
wlchless,E38000192,Waltham Forest Wheelchair & Special Seating Service,CM2 0PD,Address: The Gemini Centre 88 New London Road   Chelmsford Essex<br>Post Code: CM2 0PD<br>Main Telephone: 0800 1230810<br>Main Fax: 01245 318561<br>Main Email: <br>Website: <br>Service Provider / NHS Trust: Central Essex Community Services (CECS)<br>Commissioner / CCG: Central Essex Community Services (CECS),The Gemini Centre 88 New London Road   Chelmsford Essex,0800 1230810,01245 318561,,,Central Essex Community Services (CECS),Central Essex Community Services (CECS)
ntheaecl,E38000106,North East Essex Wheelchair Service,CO3 3NB,Address: Essex County Hospital Lexden Road   Colchester Essex<br>Post Code: CO3 3NB<br>Main Telephone: 01206 744680<br>Main Fax: 01206 744681<br>Main Email: chu-ftr.NEEWCS@nhs.net<br>Website: http://www.colchesterhospital.nhs.uk/wheelchair_services<br>Service Provider / NHS Trust: Colchester Hospital University NHS Foundation trust<br>Commissioner / CCG: North Essex CCG,Essex County Hospital Lexden Road   Colchester Essex,01206 744680,01206 744681,chu-ftr.NEEWCS@nhs.net,http://www.colchesterhospital.nhs.uk/wheelchair_services,Colchester Hospital University NHS Foundation trust,North Essex CCG
havrng,E38000077,Havering Wheelchair Service,RM3 0AR,Address: Disablement Services Centre Harold Wood Hospital Gubbins Lane Haroldwood Romford Essex<br>Post Code: RM3 0AR<br>Main Telephone: 01708 796200<br>Main Fax: 01708 796201<br>Main Email: <br>Website: <br>Service Provider / NHS Trust: Havering Primary Care NHS Trust<br>Commissioner / CCG: Havering Primary Care NHS Trust,Disablement Services Centre Harold Wood Hospital Gubbins Lane Haroldwood Romford Essex,01708 796200,01708 796201,,,Havering Primary Care NHS Trust,Havering Primary Care NHS Trust
mdessx,E38000106,Mid Essex Wheelchair Service,CM2 0PD,Address: The Gemini Centre Lower Ground Floor 88 New London Road  Chelmsford Essex<br>Post Code: CM2 0PD<br>Main Telephone: 01245 318560<br>Main Fax: 01245 318561<br>Main Email: <br>Website: <br>Service Provider / NHS Trust: Mid Essex Primary Care Trust<br>Commissioner / CCG: Mid Essex Primary Care Trust,The Gemini Centre Lower Ground Floor 88 New London Road  Chelmsford Essex,01245 318560,01245 318561,,,Mid Essex Primary Care Trust,Mid Essex Primary Care Trust
rdbrdge,E38000138,Redbridge Wheelchair service,IG3 8XJ,Address: Goodmayes Hospital Barley Lane Goodmayes  Ilford Essex<br>Post Code: IG3 8XJ<br>Main Telephone: 020 8970 5752<br>Main Fax: 020 8970 57553<br>Main Email: <br>Website: <br>Service Provider / NHS Trust: NHS Redbridge<br>Commissioner / CCG: NHS Redbridge,Goodmayes Hospital Barley Lane Goodmayes  Ilford Essex,020 8970 5752,020 8970 57553,,,NHS Redbridge,NHS Redbridge
sthndesx,E38000117,Southend Wheelchair Service,SS2 5TE,Address: Integrated Resource Centre Unit 8 The Forum Coopers Way Temple Farm Industrial Estate  Southend on Sea Essex<br>Post Code: SS2 5TE<br>Main Telephone: 01702 442145<br>Main Fax: 01702 442102<br>Main Email: southendwheelchair.service@nhs.net<br>Website: <br>Service Provider / NHS Trust: South Essex Partnership NHS Trust<br>Commissioner / CCG:,Integrated Resource Centre Unit 8 The Forum Coopers Way Temple Farm Industrial Estate  Southend on Sea Essex,01702 442145,01702 442102,southendwheelchair.service@nhs.net,,South Essex Partnership NHS Trust,
shwesthr,E38000197,Wheelchair Service,RM16 2PX,Address: Thurrock Community Hospital Long Lane   Grays Essex<br>Post Code: RM16 2PX<br>Main Telephone: 01375 364455<br>Main Fax: 01375 364454<br>Main Email: wheelchairservice@swessex.nhs.uk<br>Website: <br>Service Provider / NHS Trust: South West Essex Community Services<br>Commissioner / CCG: South West Essex Community Services,Thurrock Community Hospital Long Lane   Grays Essex,01375 364455,01375 364454,wheelchairservice@swessex.nhs.uk,,South West Essex Community Services,South West Essex Community Services
glsgwsct,,West of Scotland Mobility & Rehabilitation Centre,G51 4TF,Address: Southern General Hospital 1345 Govan Road Govan  Glasgow Glasgow<br>Post Code: G51 4TF<br>Main Telephone: 0844 811 3001 or 0141 201 2624<br>Main Fax: 0141 2012649<br>Main Email: WestMARC@ggc.scot.nhs.uk<br>Website: http://www.nhsggc.org.uk/WestMARC<br>Service Provider / NHS Trust: NHS Greater Glasgow & Clyde & Consortium NHS Health Boards<br>Commissioner / CCG:,Southern General Hospital 1345 Govan Road Govan  Glasgow Glasgow,0844 811 3001 or 0141 201 2624,0141 2012649,WestMARC@ggc.scot.nhs.uk,http://www.nhsggc.org.uk/WestMARC,NHS Greater Glasgow & Clyde & Consortium NHS Health Boards,
chlgloush,E38000062,Gloucestershire Care Services Wheelchair Service,GL51 0BY,Address: Independent Living Service Village Road   Cheltenham Gloucestershire<br>Post Code: GL51 0BY<br>Main Telephone: 01242 713900<br>Main Fax: 01242 524837<br>Main Email: <br>Website: <br>Service Provider / NHS Trust: Gloucestershire Care Services<br>Commissioner / CCG: NHS Gloucestershire,Independent Living Service Village Road   Cheltenham Gloucestershire,01242 713900,01242 524837,,,Gloucestershire Care Services,NHS Gloucestershire
wgnleigh,E38000205,Wigan and Leigh Wheelchair Service,WN3 4NW,Address: Claire House Lower Ince Health Centre Pheonix Way Ince Wigan Greater Mancester<br>Post Code: WN3 4NW<br>Main Telephone: 01942 481162<br>Main Fax: 01942 481175<br>Main Email: wigan.wheelchairservice@bridgewater.nhs.uk<br>Website: <br>Service Provider / NHS Trust: Bridgewater Community Healthcare NHS Trust<br>Commissioner / CCG: Wigan CCG,Claire House Lower Ince Health Centre Pheonix Way Ince Wigan Greater Mancester,01942 481162,01942 481175,wigan.wheelchairservice@bridgewater.nhs.uk,,Bridgewater Community Healthcare NHS Trust,Wigan CCG
bltngm,E38000016,Bolton Wheelchair Service,BL1 1SQ,Address: Lever Chambers Centre for Health Ashburner Street   Bolton Greater Manchester<br>Post Code: BL1 1SQ<br>Main Telephone: 01204 462777<br>Main Fax: 01204 462778<br>Main Email: <br>Website: <br>Service Provider / NHS Trust: NHS Bolton Foundation Trust<br>Commissioner / CCG: NHS Bolton Foundation Trust,Lever Chambers Centre for Health Ashburner Street   Bolton Greater Manchester,01204 462777,01204 462778,,,NHS Bolton Foundation Trust,NHS Bolton Foundation Trust
rchdold,E38000080,Rochdale Posture & Mobility Centre,OL10 2DY,Address: Peninsula House Cross Street Heywood  Rochdale Greater Manchester<br>Post Code: OL10 2DY<br>Main Telephone: 01706 837190<br>Main Fax:  <br>Main Email: deborah.jones@pat.nhs.uk<br>Website: <br>Service Provider / NHS Trust: Rochdale Healthcare NHS Trust<br>Commissioner / CCG: Rochdale Healthcare NHS Trust,Peninsula House Cross Street Heywood  Rochdale Greater Manchester,01706 837190,,deborah.jones@pat.nhs.uk,,Rochdale Healthcare NHS Trust,Rochdale Healthcare NHS Trust
salfman,E38000143,Salford Disable Living Centre,M28 2LY,Address: Burrows House Wardley Industrial Estate   Salford Greater Manchester<br>Post Code: M28 2LY<br>Main Telephone: 0161 607 1499<br>Main Fax: <br>Main Email: <br>Website: www.salford.gov.uk<br>Service Provider / NHS Trust: Salford Disability Services<br>Commissioner / CCG: Salford Disability Services,Burrows House Wardley Industrial Estate   Salford Greater Manchester,0161 607 1499,,,www.salford.gov.uk,Salford Disability Services,Salford Disability Services
altrman,E38000217,Manchester Specialised Services Centre,M22 4NY,"Address: Ability House Altrincham Road Sharston Manchester Greater Manchester<br>Post Code: M22 4NY<br>Main Telephone: 0161 611 3800<br>Main Fax: 0161 611 3761<br>Main Email: manchesterwheelchairservices@nhs.net<br>Website: <br>Service Provider / NHS Trust: Universities of South Manchester NHS Trust<br>Commissioner / CCG: Manchester (North, Central, South) and Trafford CCG's",Ability House Altrincham Road Sharston Manchester Greater Manchester,0161 611 3800,0161 611 3761,manchesterwheelchairservices@nhs.net,,Universities of South Manchester NHS Trust,"Manchester (North, Central, South) and Trafford CCG's"
